DateID,Day of week,Dayweek,Month,Year
Date287,Weekend,Sunday,6,1995
Date288,Weekend,Sunday,5,2006
Date289,Weekend,Sunday,9,2005
Date290,Weekday,Tuesday,12,2008
Date291,Weekend,Friday,5,2003
Date292,Weekend,Monday,2,1997
Date293,Weekend,Friday,12,2023
Date294,Weekday,Friday,7,2008
Date295,Weekday,Thursday,9,2019
Date296,Weekend,Monday,2,2013
Date297,Weekday,Thursday,11,2002
Date298,Weekday,Wednesday,3,2023
Date299,Weekday,Tuesday,2,2009
Date300,Weekday,Wednesday,8,1993
Date301,Weekday,Friday,1,2008
Date302,Weekend,Sunday,3,2010
Date303,Weekend,Friday,5,1991
Date304,Weekday,Thursday,5,1996
Date305,Weekday,Tuesday,3,2020
Date306,Weekday,Wednesday,2,2021
Date307,Weekend,Friday,5,2023
Date308,Weekday,Wednesday,2,2017
Date309,Weekend,Saturday,11,2010
Date310,Weekend,Friday,2,2010
Date311,Weekend,Monday,10,2019
Date312,Weekend,Saturday,4,2014
Date313,Weekend,Monday,8,1993
Date314,Weekday,Thursday,7,2018
Date315,Weekday,Thursday,3,2001
Date316,Weekend,Saturday,6,2024
Date317,Weekday,Wednesday,2,1989
Date318,Weekday,Tuesday,10,1996
Date319,Weekday,Tuesday,6,2013
Date320,Weekday,Friday,7,2016
Date321,Weekday,Monday,4,2021
Date322,Weekday,Tuesday,2,2019
Date323,Weekday,Wednesday,10,2021
Date324,Weekday,Monday,3,2000
Date325,Weekend,Monday,4,1994
Date326,Weekday,Friday,3,2003
Date327,Weekend,Monday,9,1998
Date328,Weekday,Tuesday,5,1995
Date329,Weekday,Tuesday,5,1993
Date330,Weekend,Sunday,9,1992
Date331,Weekend,Monday,11,2017
Date332,Weekday,Thursday,6,2009
Date333,Weekday,Monday,4,2024
Date334,Weekend,Saturday,1,2010
Date335,Weekend,Friday,12,1995
Date336,Weekday,Friday,4,2002
Date337,Weekday,Monday,6,1995
Date338,Weekend,Monday,2,2000
Date339,Weekend,Friday,3,2003
Date340,Weekend,Saturday,2,2016
Date341,Weekday,Friday,1,2019
Date342,Weekend,Friday,12,2012
Date343,Weekday,Friday,5,1992
Date344,Weekend,Friday,9,1992
Date345,Weekday,Wednesday,3,2000
Date346,Weekday,Wednesday,1,1996
Date347,Weekend,Friday,3,2002
Date348,Weekend,Sunday,7,2013
Date349,Weekend,Saturday,3,2004
Date350,Weekend,Sunday,6,2014
Date351,Weekday,Thursday,1,1989
Date352,Weekend,Monday,9,2020
Date353,Weekday,Wednesday,12,1992
Date354,Weekday,Thursday,7,1999
Date355,Weekend,Monday,9,2017
Date356,Weekend,Monday,1,2015
Date357,Weekend,Monday,10,2011
Date358,Weekday,Thursday,6,2017
Date359,Weekday,Thursday,7,1991
Date360,Weekend,Monday,11,2019
Date361,Weekend,Friday,4,2009
Date362,Weekend,Sunday,12,2024
Date363,Weekday,Friday,7,2000
Date364,Weekend,Monday,6,2002
Date365,Weekday,Monday,5,1998
Date366,Weekday,Thursday,5,2018
Date367,Weekend,Saturday,3,1991
Date368,Weekday,Friday,8,1995
Date369,Weekend,Friday,5,2009
Date370,Weekday,Wednesday,5,2013
Date371,Weekend,Friday,11,1999
Date372,Weekend,Friday,1,1999
Date373,Weekday,Tuesday,3,2022
Date374,Weekday,Monday,12,2013
Date375,Weekday,Thursday,2,2016
Date376,Weekend,Saturday,1,1998
Date377,Weekend,Sunday,10,2009
Date378,Weekend,Saturday,9,2001
Date379,Weekday,Wednesday,1,2016
Date380,Weekday,Monday,3,2016
Date381,Weekend,Saturday,7,1991
Date382,Weekday,Tuesday,11,2020
Date383,Weekday,Friday,10,2020
Date384,Weekend,Sunday,12,2019
Date385,Weekend,Friday,8,2018
Date386,Weekday,Monday,9,2008
