GeoID,Ste Name21,Sa4 Name21,Lga Name21,National Remoteness Areas
Geo124,Victoria,Hume,Benalla,Inner Regional Australia
Geo125,Western Australia,Western Australia - Outback (South),Carnarvon,Very Remote Australia
Geo126,Western Australia,Perth - Inner,Stirling,Major Cities of Australia
Geo127,Western Australia,Western Australia - Wheat Belt,Narrogin,Outer Regional Australia
Geo128,Tasmania,West and North West,Latrobe (Tas.),Outer Regional Australia
Geo129,Queensland,Mackay - Isaac - Whitsunday,Mackay,Outer Regional Australia
Geo130,New South Wales,Far West and Orana,Bourke,Very Remote Australia
Geo131,Western Australia,Western Australia - Outback (South),Leonora,Very Remote Australia
Geo132,Queensland,Queensland - Outback,Burke,Very Remote Australia
Geo133,New South Wales,Hunter Valley exc Newcastle,Port Stephens,Major Cities of Australia
Geo134,Victoria,Mornington Peninsula,Mornington Peninsula,Major Cities of Australia
Geo135,New South Wales,Riverina,Wagga Wagga,Outer Regional Australia
Geo136,Northern Territory,Northern Territory - Outback,Victoria Daly,Very Remote Australia
Geo137,Victoria,Hume,Mansfield,Outer Regional Australia
Geo138,New South Wales,Murray,Murray River,Remote Australia
Geo139,New South Wales,New England and North West,Inverell,Outer Regional Australia
Geo140,Victoria,Warrnambool and South West,Warrnambool,Inner Regional Australia
Geo141,Western Australia,Western Australia - Wheat Belt,Lake Grace,Very Remote Australia
Geo142,Queensland,Darling Downs - Maranoa,Southern Downs,Outer Regional Australia
Geo143,South Australia,South Australia - Outback,Ceduna,Very Remote Australia
Geo144,Tasmania,Launceston and North East,Dorset,Outer Regional Australia
Geo145,New South Wales,Illawarra,Sutherland,Inner Regional Australia
Geo146,Queensland,Townsville,Hinchinbrook,Outer Regional Australia
Geo147,South Australia,Adelaide - North,Barossa,Major Cities of Australia
Geo148,Western Australia,Western Australia - Wheat Belt,Gingin,Outer Regional Australia
Geo149,New South Wales,Sydney - Inner South West,Bayside,Major Cities of Australia
Geo150,South Australia,South Australia - Outback,Cleve,Remote Australia
Geo151,Western Australia,Western Australia - Outback (South),Dundas,Very Remote Australia
Geo152,Northern Territory,Northern Territory - Outback,Katherine,Remote Australia
Geo153,Tasmania,Launceston and North East,George Town,Outer Regional Australia
Geo154,Queensland,Central Queensland,Livingstone,Remote Australia
Geo155,New South Wales,Central West,Oberon,Outer Regional Australia
Geo156,Western Australia,Western Australia - Wheat Belt,Goomalling,Outer Regional Australia
Geo157,Western Australia,Perth - North West,Stirling,Major Cities of Australia
Geo158,Tasmania,West and North West,King Island,Very Remote Australia
Geo159,Western Australia,Perth - North West,Wanneroo,Inner Regional Australia
Geo160,Queensland,Darling Downs - Maranoa,Maranoa,Outer Regional Australia
Geo161,South Australia,South Australia - South East,Mount Gambier,Outer Regional Australia
Geo162,New South Wales,Sydney - Inner West,Canada Bay,Major Cities of Australia
Geo163,South Australia,South Australia - Outback,Whyalla,Outer Regional Australia
Geo164,Tasmania,Launceston and North East,West Tamar,Inner Regional Australia
Geo165,New South Wales,Central Coast,Central Coast,Inner Regional Australia
Geo166,Western Australia,Western Australia - Wheat Belt,Jerramungup,Remote Australia
Geo167,Queensland,Ipswich,Scenic Rim,Inner Regional Australia
Geo168,Victoria,Warrnambool and South West,Corangamite,Inner Regional Australia
Geo169,Queensland,Queensland - Outback,Lockhart River,Very Remote Australia
Geo170,New South Wales,Coffs Harbour - Grafton,Bellingen,Outer Regional Australia
Geo171,Victoria,Melbourne - West,Moorabool,Inner Regional Australia
Geo172,New South Wales,Capital Region,Shoalhaven,Inner Regional Australia
Geo173,South Australia,South Australia - South East,Kangaroo Island,Remote Australia
Geo174,Northern Territory,Darwin,Unincorporated NT,Outer Regional Australia
Geo175,Northern Territory,Darwin,Darwin,Outer Regional Australia
