GeoID,Ste Name21,Sa4 Name21,Lga Name21,National Remoteness Areas
Geo775,Tasmania,Launceston and North East,Meander Valley,Outer Regional Australia
Geo776,Queensland,Cairns,Douglas,Outer Regional Australia
Geo777,South Australia,Adelaide - North,Gawler,Major Cities of Australia
Geo778,South Australia,Adelaide - South,Holdfast Bay,Major Cities of Australia
Geo779,Western Australia,Western Australia - Outback (South),Northampton,Remote Australia
Geo780,Western Australia,Western Australia - Wheat Belt,Boddington,Inner Regional Australia
Geo781,Victoria,Melbourne - Inner South,Stonnington,Major Cities of Australia
Geo782,Victoria,North West,Horsham,Outer Regional Australia
Geo783,Victoria,Melbourne - Inner,Moreland,Major Cities of Australia
Geo784,New South Wales,Central West,Lithgow,Outer Regional Australia
Geo785,Queensland,Queensland - Outback,Longreach,Very Remote Australia
Geo786,Tasmania,Launceston and North East,Break O'Day,Outer Regional Australia
Geo787,Western Australia,Western Australia - Wheat Belt,Corrigin,Remote Australia
Geo788,Western Australia,Perth - South East,South Perth,Major Cities of Australia
Geo789,Australian Capital Territory,Australian Capital Territory,Unincorporated ACT,Inner Regional Australia
Geo790,Victoria,Latrobe - Gippsland,South Gippsland,Inner Regional Australia
Geo791,Queensland,Central Queensland,Gladstone,Outer Regional Australia
Geo792,New South Wales,Coffs Harbour - Grafton,Bellingen,Inner Regional Australia
Geo793,South Australia,South Australia - South East,Coorong,Outer Regional Australia
Geo794,Western Australia,Perth - Inner,Perth,Major Cities of Australia
Geo795,Victoria,Ballarat,Hepburn,Inner Regional Australia
Geo796,New South Wales,Newcastle and Lake Macquarie,Newcastle,Major Cities of Australia
Geo797,Tasmania,Unknown,Unknown,Unknown
Geo798,New South Wales,Newcastle and Lake Macquarie,Lake Macquarie,Inner Regional Australia
Geo799,New South Wales,Murray,Berrigan,Inner Regional Australia
Geo800,New South Wales,Central West,Lachlan,Outer Regional Australia
Geo801,Victoria,Melbourne - South East,Monash,Major Cities of Australia
Geo802,New South Wales,Illawarra,Shellharbour,Inner Regional Australia
Geo803,Victoria,Melbourne - North West,Melton,Major Cities of Australia
