FatalityId,Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,SA4 Name 2021,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day,Number Fatalities
Fatality9519,20175123,WA,5,1992,Tuesday,16:27:00.000000000,Single,No,No,No,50,Other/-9,Male,94,Major Cities of Australia,Perth - South West,Cockburn,Local Road,No,No,75_or_older,Weekday,Day,1
Fatality9520,20187020,NT,8,1992,Saturday,09:04:00.000000000,Single,No,No,No,110,Driver,Male,28,Very Remote Australia,Northern Territory - Outback,Barkly,Access road,No,No,26_to_39,Weekend,Day,1
Fatality9521,20142076,Vic,2,1994,Monday,08:20:00.000000000,Multiple,No,No,No,80,Driver,Male,83,Unknown,Unknown,Unknown,Undetermined,No,No,75_or_older,Weekday,Day,1
Fatality9522,20211169,NSW,3,1990,Saturday,23:00:00.000000000,Single,No,No,No,100,Driver,Male,18,Remote Australia,Far West and Orana,Warren,Arterial Road,No,No,17_to_25,Weekend,Night,1
Fatality9523,20141274,NSW,2,1994,Saturday,02:30:00.000000000,Multiple,No,No,No,100,Driver,Male,19,Unknown,Unknown,Unknown,Undetermined,No,No,17_to_25,Weekend,Night,2
Fatality9524,20205124,WA,12,1991,Saturday,13:25:00.000000000,Single,No,No,No,80,Driver,Female,67,Major Cities of Australia,Perth - South East,Armadale,National or State Highway,No,No,65_to_74,Weekend,Day,1
Fatality9525,20194050,SA,8,1991,Saturday,20:30:00.000000000,Single,No,No,No,100,Driver,Male,34,Outer Regional Australia,Barossa - Yorke - Mid North,Yorke Peninsula,Arterial Road,Yes,No,26_to_39,Weekend,Night,1
Fatality9526,20233246,Qld,6,1989,Saturday,07:00:00.000000000,Multiple,No,No,No,100,Driver,Male,71,Inner Regional Australia,Ipswich,Scenic Rim,National or State Highway,No,No,65_to_74,Weekend,Day,1
Fatality9527,20163043,Qld,5,1993,Thursday,14:00:00.000000000,Single,No,No,No,80,Driver,Male,52,Unknown,Unknown,Unknown,Undetermined,No,No,40_to_64,Weekday,Day,1
Fatality9528,20142160,Vic,4,1994,Saturday,12:37:00.000000000,Single,No,No,No,100,Motorcycle rider,Male,59,Unknown,Unknown,Unknown,Undetermined,No,No,40_to_64,Weekend,Day,1
Fatality9529,20172218,Vic,5,1992,Wednesday,17:30:00.000000000,Single,No,No,No,100,Motorcycle rider,Male,47,Outer Regional Australia,Warrnambool and South West,Moyne,Sub-arterial Road,No,No,40_to_64,Weekday,Day,1
Fatality9530,20181190,NSW,12,1992,Thursday,13:45:00.000000000,Multiple,No,No,No,80,Driver,Male,53,Major Cities of Australia,Hunter Valley exc Newcastle,Maitland,Arterial Road,No,No,40_to_64,Weekday,Day,1
Fatality9531,20242255,Vic,11,1989,Saturday,15:47:00.000000000,Multiple,No,No,No,100,Motorcycle rider,Male,22,Inner Regional Australia,Ballarat,Ballarat,Sub-arterial Road,No,No,17_to_25,Weekend,Day,1
Fatality9532,20155136,WA,10,1994,Sunday,00:15:00.000000000,Single,No,No,No,50,Pedestrian,Male,22,Remote Australia,Western Australia - Outback (North),Port Hedland,Local Road,No,No,17_to_25,Weekend,Night,1
Fatality9533,20212136,Vic,7,1990,Saturday,22:22:00.000000000,Single,No,No,No,80,Passenger,Male,32,Inner Regional Australia,Latrobe - Gippsland,Latrobe (Vic.),Arterial Road,No,No,26_to_39,Weekend,Night,2
Fatality9534,20204028,SA,10,1991,Tuesday,02:30:00.000000000,Single,No,No,No,80,Passenger,Male,24,Outer Regional Australia,South Australia - South East,Renmark Paringa,National or State Highway,No,No,17_to_25,Weekday,Night,1
Fatality9535,20163221,Qld,10,1993,Friday,15:00:00.000000000,Single,No,No,No,100,Motorcycle rider,Male,61,Unknown,Unknown,Unknown,Undetermined,No,No,40_to_64,Weekday,Day,1
Fatality9536,20164048,SA,11,1993,Friday,12:10:00.000000000,Single,No,No,No,110,Driver,Male,35,Very Remote Australia,South Australia - Outback,Ceduna,National or State Highway,Yes,No,26_to_39,Weekday,Day,1
Fatality9537,20242257,Vic,11,1989,Sunday,10:04:00.000000000,Multiple,No,No,No,50,Passenger,Male,84,Major Cities of Australia,Mornington Peninsula,Mornington Peninsula,Collector Road,No,No,75_or_older,Weekend,Day,1
Fatality9538,20171017,NSW,1,1992,Wednesday,18:10:00.000000000,Single,No,No,No,40,Motorcycle rider,Male,23,Major Cities of Australia,Illawarra,Wollongong,Collector Road,No,No,17_to_25,Weekday,Night,2
Fatality9539,20154095,SA,12,1994,Tuesday,16:05:00.000000000,Single,No,No,No,100,Driver,Male,31,Remote Australia,South Australia - South East,Kingston (SA),Local Road,No,No,26_to_39,Weekday,Day,1
Fatality9540,20201220,NSW,10,1991,Sunday,15:00:00.000000000,Single,No,No,No,50,Driver,Male,34,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Penrith,Local Road,No,No,26_to_39,Weekend,Day,1
Fatality9541,20145130,WA,5,1994,Sunday,02:39:00.000000000,Single,No,No,No,70,Pedestrian,Male,25,Major Cities of Australia,Perth - North West,Stirling,National or State Highway,No,No,17_to_25,Weekend,Night,1
Fatality9542,20221056,NSW,2,1989,Friday,15:25:00.000000000,Single,No,No,No,40,Pedestrian,Female,95,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,Local Road,Yes,No,75_or_older,Weekday,Day,1
Fatality9543,20201152,NSW,10,1991,Thursday,06:00:00.000000000,Single,No,No,No,100,Driver,Male,43,Inner Regional Australia,Central West,Lithgow,Arterial Road,No,No,40_to_64,Weekday,Day,1
Fatality9544,20162037,Vic,8,1993,Thursday,08:26:00.000000000,Multiple,No,No,No,100,Driver,Male,50,Inner Regional Australia,Warrnambool and South West,Colac Otway,Undetermined,No,No,40_to_64,Weekday,Day,1
Fatality9545,20196020,Tas,4,1991,Tuesday,07:17:00.000000000,Multiple,No,No,No,100,Pedestrian,Male,56,Outer Regional Australia,West and North West,Latrobe (Tas.),Arterial Road,No,No,40_to_64,Weekday,Day,1
Fatality9546,20173128,Qld,11,1993,Saturday,14:00:00.000000000,Multiple,No,No,No,90,Passenger,Female,21,Major Cities of Australia,Logan - Beaudesert,Logan,National or State Highway,No,No,17_to_25,Weekend,Day,2
Fatality9547,20221091,NSW,10,1990,Friday,12:39:00.000000000,Single,No,No,No,70,Pedestrian,Male,5,Major Cities of Australia,Sydney - Blacktown,Blacktown,Arterial Road,No,No,0_to_16,Weekday,Day,1
Fatality9548,20203030,Qld,12,1991,Sunday,17:00:00.000000000,Multiple,No,No,No,60,Driver,Male,21,Major Cities of Australia,Gold Coast,Gold Coast,Collector Road,No,No,17_to_25,Weekend,Day,3
Fatality9549,20232218,Vic,4,1989,Tuesday,19:40:00.000000000,Single,No,No,No,50,Pedestrian,Male,87,Major Cities of Australia,Melbourne - South East,Casey,Sub-arterial Road,No,No,75_or_older,Weekday,Night,1
Fatality9550,20212210,Vic,6,1990,Wednesday,16:05:00.000000000,Single,No,Yes,No,50,Pedestrian,Male,80,Major Cities of Australia,Melbourne - South East,Cardinia,Local Road,No,No,75_or_older,Weekday,Day,1
Fatality9551,20175058,WA,11,1993,Sunday,16:30:00.000000000,Multiple,No,No,No,100,Motorcycle rider,Male,21,Major Cities of Australia,Perth - South East,Canning,National or State Highway,Yes,No,17_to_25,Weekend,Day,1
Fatality9552,20153044,Qld,12,1994,Wednesday,16:00:00.000000000,Single,No,No,No,100,Driver,Male,67,Unknown,Unknown,Unknown,Undetermined,No,No,65_to_74,Weekday,Day,1
Fatality9553,20181309,NSW,1,1991,Friday,00:30:00.000000000,Single,No,No,No,10,Driver,Male,24,Remote Australia,Central West,Lachlan,Local Road,No,No,17_to_25,Weekday,Night,1
Fatality9554,20175142,WA,6,1992,Tuesday,15:25:00.000000000,Multiple,No,No,No,100,Driver,Female,81,Major Cities of Australia,Perth - North West,Joondalup,National or State Highway,Yes,No,75_or_older,Weekday,Day,1
Fatality9555,20221097,NSW,12,1990,Monday,15:00:00.000000000,Single,No,No,No,50,Pedestrian,Female,85,Inner Regional Australia,Capital Region,Eurobodalla,National or State Highway,No,No,75_or_older,Weekday,Day,1
Fatality9556,20174008,SA,1,1992,Tuesday,11:00:00.000000000,Single,No,No,No,80,Driver,Female,79,Remote Australia,South Australia - South East,Kangaroo Island,Sub-arterial Road,No,No,75_or_older,Weekday,Day,1
Fatality9557,20232188,Vic,7,1989,Saturday,18:29:00.000000000,Single,No,No,No,60,Driver,Male,41,Major Cities of Australia,Melbourne - Outer East,Yarra Ranges,Arterial Road,No,No,40_to_64,Weekend,Night,1
