TimeID,Time of day,Time
Time270,Night,02:29:00.000000000
Time271,Night,15:59:00.000000000
Time272,Night,02:09:00.000000000
Time273,Day,17:17:00.000000000
Time274,Night,16:00:00.000000000
Time275,Night,22:39:00.000000000
Time276,Night,23:07:00.000000000
Time277,Night,19:47:00.000000000
Time278,Night,12:30:00.000000000
Time279,Night,18:44:00.000000000
Time280,Day,15:36:00.000000000
Time281,Night,20:56:00.000000000
Time282,Day,12:53:00.000000000
Time283,Day,11:43:00.000000000
Time284,Night,00:15:00.000000000
Time285,Day,08:26:00.000000000
Time286,Night,01:43:00.000000000
Time287,Day,07:06:00.000000000
Time288,Night,00:45:00.000000000
Time289,Day,15:31:00.000000000
Time290,Night,12:04:00.000000000
Time291,Night,22:42:00.000000000
Time292,Night,23:56:00.000000000
Time293,Night,01:15:00.000000000
Time294,Day,16:23:00.000000000
Time295,Night,05:42:00.000000000
Time296,Day,12:48:00.000000000
Time297,Night,05:05:00.000000000
Time298,Day,06:59:00.000000000
Time299,Night,00:42:00.000000000
Time300,Night,19:42:00.000000000
Time301,Day,06:55:00.000000000
Time302,Night,18:27:00.000000000
Time303,Night,05:02:00.000000000
Time304,Night,02:14:00.000000000
Time305,Day,08:57:00.000000000
Time306,Day,16:58:00.000000000
Time307,Night,23:26:00.000000000
Time308,Day,14:15:00.000000000
Time309,Day,06:31:00.000000000
Time310,Night,14:00:00.000000000
Time311,Day,16:31:00.000000000
Time312,Night,03:38:00.000000000
Time313,Night,19:10:00.000000000
Time314,Night,20:28:00.000000000
Time315,Night,19:21:00.000000000
Time316,Day,09:19:00.000000000
Time317,Night,00:18:00.000000000
Time318,Day,08:04:00.000000000
Time319,Night,03:58:00.000000000
Time320,Day,09:13:00.000000000
Time321,Day,15:50:00.000000000
Time322,Day,11:10:00.000000000
Time323,Day,13:06:00.000000000
Time324,Night,02:25:00.000000000
Time325,Day,07:43:00.000000000
Time326,Night,20:37:00.000000000
Time327,Night,21:52:00.000000000
Time328,Night,03:14:00.000000000
Time329,Night,05:59:00.000000000
Time330,Day,08:34:00.000000000
Time331,Day,15:17:00.000000000
Time332,Day,06:12:00.000000000
Time333,Night,20:13:00.000000000
Time334,Day,10:31:00.000000000
Time335,Day,06:03:00.000000000
Time336,Night,03:18:00.000000000
Time337,Day,16:18:00.000000000
Time338,Day,16:57:00.000000000
Time339,Day,15:42:00.000000000
Time340,Night,17:05:00.000000000
Time341,Night,22:23:00.000000000
Time342,Night,20:46:00.000000000
Time343,Day,10:15:00.000000000
Time344,Day,17:38:00.000000000
Time345,Night,18:06:00.000000000
Time346,Day,06:17:00.000000000
Time347,Night,19:09:00.000000000
Time348,Night,20:38:00.000000000
Time349,Day,07:20:00.000000000
Time350,Day,12:43:00.000000000
Time351,Night,01:20:00.000000000
Time352,Day,07:40:00.000000000
Time353,Day,06:29:00.000000000
Time354,Day,17:34:00.000000000
Time355,Day,11:02:00.000000000
Time356,Day,09:09:00.000000000
Time357,Night,19:23:00.000000000
Time358,Night,22:07:00.000000000
Time359,Day,15:18:00.000000000
Time360,Night,03:04:00.000000000
Time361,Day,13:18:00.000000000
Time362,Day,16:29:00.000000000
Time363,Day,15:57:00.000000000
Time364,Day,13:17:00.000000000
Time365,Night,14:35:00.000000000
Time366,Day,13:15:00.000000000
Time367,Day,08:06:00.000000000
Time368,Day,13:46:00.000000000
Time369,Day,08:33:00.000000000
Time370,Night,02:12:00.000000000
Time371,Day,15:01:00.000000000
Time372,Day,11:08:00.000000000
Time373,Night,11:20:00.000000000
Time374,Night,15:45:00.000000000
Time375,Day,08:49:00.000000000
Time376,Night,15:30:00.000000000
Time377,Day,07:44:00.000000000
Time378,Night,03:42:00.000000000
Time379,Night,03:16:00.000000000
Time380,Night,04:18:00.000000000
Time381,Day,06:43:00.000000000
Time382,Day,16:44:00.000000000
Time383,Night,21:28:00.000000000
Time384,Day,11:03:00.000000000
Time385,Day,12:20:00.000000000
Time386,Night,10:50:00.000000000
Time387,Day,07:47:00.000000000
Time388,Day,08:10:00.000000000
Time389,Night,23:44:00.000000000
Time390,Day,10:33:00.000000000
Time391,Day,09:59:00.000000000
Time392,Night,14:15:00.000000000
Time393,Day,10:00:00.000000000
Time394,Night,22:41:00.000000000
Time395,Day,14:35:00.000000000
Time396,Day,15:20:00.000000000
Time397,Day,15:52:00.000000000
Time398,Day,11:27:00.000000000
Time399,Night,20:33:00.000000000
Time400,Night,22:59:00.000000000
Time401,Night,00:40:00.000000000
Time402,Day,10:24:00.000000000
Time403,Night,16:45:00.000000000
Time404,Night,20:41:00.000000000
Time405,Day,17:36:00.000000000
Time406,Night,22:19:00.000000000
Time407,Night,05:37:00.000000000
Time408,Night,02:05:00.000000000
Time409,Day,17:14:00.000000000
Time410,Night,04:23:00.000000000
Time411,Day,06:24:00.000000000
Time412,Day,14:42:00.000000000
Time413,Day,17:25:00.000000000
Time414,Day,06:47:00.000000000
Time415,Day,14:21:00.000000000
Time416,Night,06:25:00.000000000
Time417,Day,12:28:00.000000000
Time418,Day,15:06:00.000000000
Time419,Day,17:31:00.000000000
Time420,Day,16:03:00.000000000
Time421,Night,18:20:00.000000000
Time422,Day,17:58:00.000000000
Time423,Day,17:49:00.000000000
Time424,Night,04:56:00.000000000
Time425,Day,09:32:00.000000000
Time426,Night,01:37:00.000000000
Time427,Day,13:47:00.000000000
Time428,Day,17:15:00.000000000
Time429,Night,20:54:00.000000000
Time430,Day,15:53:00.000000000
Time431,Night,01:57:00.000000000
Time432,Day,15:34:00.000000000
Time433,Night,20:19:00.000000000
Time434,Day,11:35:00.000000000
Time435,Day,16:46:00.000000000
Time436,Night,05:24:00.000000000
Time437,Night,14:50:00.000000000
Time438,Night,23:57:00.000000000
Time439,Night,19:39:00.000000000
Time440,Day,06:54:00.000000000
Time441,Day,13:37:00.000000000
Time442,Night,19:14:00.000000000
Time443,Day,07:16:00.000000000
Time444,Day,13:55:00.000000000
Time445,Night,02:04:00.000000000
Time446,Night,23:01:00.000000000
Time447,Night,02:24:00.000000000
Time448,Day,07:55:00.000000000
Time449,Night,04:51:00.000000000
Time450,Day,15:44:00.000000000
Time451,Day,14:57:00.000000000
Time452,Night,22:36:00.000000000
Time453,Day,17:06:00.000000000
Time454,Day,11:20:00.000000000
Time455,Day,17:29:00.000000000
Time456,Day,07:00:00.000000000
Time457,Night,18:10:00.000000000
Time458,Day,17:01:00.000000000
Time459,Day,14:45:00.000000000
Time460,Night,22:31:00.000000000
Time461,Night,01:48:00.000000000
Time462,Night,23:32:00.000000000
Time463,Night,18:59:00.000000000
Time464,Night,18:04:00.000000000
Time465,Day,17:40:00.000000000
Time466,Night,02:52:00.000000000
Time467,Day,12:55:00.000000000
Time468,Night,04:28:00.000000000
Time469,Night,23:59:00.000000000
Time470,Night,03:22:00.000000000
Time471,Night,02:17:00.000000000
Time472,Night,02:44:00.000000000
Time473,Day,13:25:00.000000000
Time474,Day,09:18:00.000000000
Time475,Day,12:14:00.000000000
Time476,Night,14:27:00.000000000
Time477,Night,00:47:00.000000000
Time478,Night,18:55:00.000000000
Time479,Night,22:21:00.000000000
Time480,Day,09:54:00.000000000
Time481,Night,15:22:00.000000000
Time482,Night,18:47:00.000000000
Time483,Day,15:59:00.000000000
Time484,Night,04:11:00.000000000
Time485,Day,16:09:00.000000000
Time486,Night,22:50:00.000000000
Time487,Night,17:45:00.000000000
Time488,Night,04:00:00.000000000
Time489,Night,23:35:00.000000000
Time490,Night,21:40:00.000000000
Time491,Day,13:20:00.000000000
Time492,Night,21:23:00.000000000
Time493,Day,14:00:00.000000000
Time494,Night,02:13:00.000000000
Time495,Day,09:22:00.000000000
Time496,Day,14:50:00.000000000
Time497,Day,11:26:00.000000000
Time498,Night,14:55:00.000000000
Time499,Day,17:50:00.000000000
Time500,Night,20:29:00.000000000
